,,,,
,,,,
,,,,
Name,Measurement #1,Measurement #2,Measurement #3,Measurement #4
Date,2019/07/11,2019/07/11,2019/07/11,2019/07/11
Time,17:22,17:23,17:24,17:27
T_int [ms],1000,1931,1899,60000
,,,,
Lv [cd/sqm],3.083E+01,7.779E+01,7.166E+00,1.351E+00
Le [W/(sr*sqm)] (380-780nm),1.427E-01,1.410E-01,1.105E-01,4.723E-03
CCT [K],0,0,0,6347
DWl [nm],616.3,535.2,461.0,490.1
PE [%],95.4,87.4,93.7,6.3
,,,,
Chrom. Coord.,,,,
x,0.6671,0.2121,0.1544,0.3153
y,0.3173,0.7243,0.0504,0.3311
u',0.4874,0.0753,0.1874,0.1988
v',0.5217,0.5785,0.1376,0.4698
,,,,
CIE 13.3-1995 CRI,,,,
Ref. Illum.,CRI not calculated!,CRI not calculated!,CRI not calculated!,Daylight 5000-7000K
CCT [K],0,0,0,6347
R1,0.0,0.0,0.0,49.2
R2,0.0,0.0,0.0,95.8
R3,0.0,0.0,0.0,41.3
R4,0.0,0.0,0.0,38.1
R5,0.0,0.0,0.0,65.7
R6,0.0,0.0,0.0,96.0
R7,0.0,0.0,0.0,57.5
R8,0.0,0.0,0.0,12.6
R9,0.0,0.0,0.0,-95.0
R10,0.0,0.0,0.0,89.8
R11,0.0,0.0,0.0,30.8
R12,0.0,0.0,0.0,64.9
R13,0.0,0.0,0.0,61.4
R14,0.0,0.0,0.0,62.2
R15,0.0,0.0,0.0,34.2
Ra,0.00,0.00,0.00,57.04
DC,0.0E+00,0.0E+00,0.0E+00,1.4E-03
,,,,
PAR,,,,
Begin [nm],400,400,400,400
End [nm],700,700,700,700
Ephot [umol/s sqm],0.7351,0.6269,0.4237,0.0211
,,,,
Circadian,,,,
Lec [W/sr*sqm],0.002,0.036,0.101,0.002
acv,0.038,0.312,9.614,0.826
CCT [K],0,0,0,6347
,,,,
LED Values,,,,
Peak WL [nm],631.0,531.0,450.0,631.0
Peak FWHM [nm],8.4,37.0,16.6,8.3
Centroid WL [nm],627.2,533.5,458.1,547.0
,,,,
RGB Values,,,,
RGB Space,manual,manual,manual,manual
R,125.2,0.0,0.0,1.2
G,10.8,99.8,8.9,1.4
B,1.4,5.9,114.1,1.4
,,,,
,,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
380 nm,0.00000E+00,4.75550E-08,2.80572E-06,0.00000E+00
381 nm,0.00000E+00,9.92740E-08,5.84616E-06,0.00000E+00
382 nm,1.24912E-07,5.81481E-08,6.56657E-06,2.53575E-09
383 nm,3.89423E-06,0.00000E+00,3.89951E-06,2.87229E-07
384 nm,6.76328E-06,1.11839E-07,7.58787E-07,6.58001E-07
385 nm,6.40620E-06,1.42270E-06,1.15057E-07,9.79458E-07
386 nm,3.41304E-06,3.66100E-06,2.04647E-06,1.12639E-06
387 nm,7.87019E-07,5.96024E-06,4.47773E-06,9.53000E-07
388 nm,3.68574E-07,7.61081E-06,6.02410E-06,4.65687E-07
389 nm,3.58764E-07,8.92298E-06,7.72921E-06,5.27148E-08
390 nm,0.00000E+00,1.00896E-05,1.05900E-05,5.02375E-08
391 nm,0.00000E+00,1.04891E-05,1.32694E-05,2.86905E-07
392 nm,1.80483E-06,9.15689E-06,1.33093E-05,3.28743E-07
393 nm,9.99511E-06,6.13864E-06,1.02472E-05,7.83294E-08
394 nm,1.52429E-05,3.00568E-06,6.66608E-06,0.00000E+00
395 nm,1.16521E-05,1.12612E-06,4.81616E-06,3.66681E-07
396 nm,3.63078E-06,3.09525E-07,4.18220E-06,8.66107E-07
397 nm,0.00000E+00,0.00000E+00,3.35410E-06,8.89833E-07
398 nm,0.00000E+00,0.00000E+00,1.80842E-06,4.09650E-07
399 nm,1.04122E-07,7.00968E-08,0.00000E+00,0.00000E+00
400 nm,1.35412E-07,1.47919E-06,0.00000E+00,5.02604E-08
401 nm,0.00000E+00,2.71417E-06,0.00000E+00,2.77175E-07
402 nm,1.05298E-06,2.49896E-06,2.72241E-06,2.58396E-07
403 nm,3.12764E-06,1.09112E-06,7.60385E-06,4.74081E-08
404 nm,3.82708E-06,0.00000E+00,9.35560E-06,3.46849E-08
